"A","B","A->B","B->A"
"Bioprocessing","Biomanufacturing","True","False"
"Biotechnological Processes","Biomanufacturing","True","False"
"BioMEMS and Tissue Engineering","Biomanufacturing","True","False"
"Bioengineering and Biotechnology","Biomanufacturing","True","False"
"Essentials of Biotechniques I","Biomanufacturing","True","False"
"Algebra (Mathematics)","Algebra","True","True"
"Algebra I","Algebra","True","False"
"Basic Algebra","Algebra","True","False"
"Algebra A","Algebra","True","False"
"Algebra 2","Algebra","True","False"
"Elementary Algebra","Algebra","True","False"
"Algebra 1","Algebra","True","False"
"Algebra -A","Algebra","True","False"
"Algebra II","Algebra","True","False"
"Advanced Algebra","Algebra","True","False"
"College Algebra","Algebra","True","False"
"Algebra 1A","Algebra","True","False"
"Basic Algebra I","Algebra","True","False"
"Algebra B","Algebra","True","False"
"Algebra 1B","Algebra","True","False"
"College Algebra I","Algebra","True","False"
"Algebra 2A","Algebra","True","False"
"Applied Algebra","Algebra","True","False"
"Algebra 2B","Algebra","True","False"
"Algebra in School Mathematics","Algebra","True","False"
"World of Math:Algebra","Algebra","True","False"
"College Algebra A","Algebra","True","False"
"Algebra Express","Algebra","True","False"
"Algebra for College","Algebra","True","False"
"College Algebra-S","Algebra","True","False"
"Media Organizations","Media Club","True","False"
"Media Agency","Media Club","True","False"
"New Media Society","Media Club","True","False"
"Community Media","Media Club","True","False"
"Media Business","Media Club","True","False"
"The Media Industry","Media Club","True","False"
"Media Marketing","Media Club","True","False"
"Corporate Media","Media Club","True","False"
"Media","Media Club","False","True"
"Media Industries","Media Club","True","False"
"Media Organization and Management","Media Club","True","False"
"Entertainment Media","Media Club","True","False"
"Media Fellows Colloquium","Media Club","True","False"
"Media Entrepreneur","Media Club","True","False"
"Media Entertainment","Media Club","True","False"
"Media Communications I","Media Club","True","False"
"Mediaculture","Media Club","True","False"
"Journal Club","Media Club","False","False"
"Media Sociology","Media Club","True","False"
"Communications Media","Media Club","True","False"
"Intro to New Media Society","Media Club","True","False"
"Business of Media","Media Club","True","False"
"Media Audiences","Media Club","True","False"
"Media Management","Media Club","True","False"
"Media Culture","Media Club","True","False"
"Public Health and Informatics","Public Health Informatics","True","True"
"Public Health Informatics and Technology","Public Health Informatics","True","False"
"Foundation of Public Health Informatics","Public Health Informatics","True","False"
"Medical and Public Health Informatics","Public Health Informatics","True","False"
"Principles of Public Health Informatics","Public Health Informatics","True","False"
"Foundations in Public Health Informatics","Public Health Informatics","True","False"
"Introduction to Informatics for Public Health","Public Health Informatics","True","False"
"Public Health Informatics and Communication","Public Health Informatics","True","False"
"Health Informatics","Public Health Informatics","False","True"
"Population and Public Health Informatics","Public Health Informatics","True","False"
"Public Health Informatics: The Role of Data","Public Health Informatics","True","False"
"Public Policy for Health Informatics","Public Health Informatics","True","False"
"Health Informatics Today","Public Health Informatics","False","False"
"Health Science Informatics","Public Health Informatics","False","False"
"Health Systems Informatics","Public Health Informatics","False","False"
"Population Health Informatics: Systematic Application to Public Health","Public Health Informatics","True","False"
"Informatics for Patient Care, Public Health, and Epidemiology","Public Health Informatics","True","False"
"Health Informatics Systems","Public Health Informatics","False","False"
"Health Informatics Research","Public Health Informatics","False","False"
"Introduction to Public Health Informatics, Health Communication and Consumer Informatics","Public Health Informatics","True","False"
"Health Informatics and Technology","Public Health Informatics","False","True"
"Population Health Informatics","Public Health Informatics","True","False"
"Informatics for the Health Sciences","Public Health Informatics","True","False"
"Informatics for Health Professionals","Public Health Informatics","True","False"
"Perspectives on Health Informatics","Public Health Informatics","False","False"
"Evidence-Informed Clinical Practice in Acupuncture","acupuncture","True","False"
"Acupuncture for Musculoskeletal and Sports Injuries","acupuncture","True","False"
"Of Acupuncture, Medicine Men and Ayurveda: Indigenous and Non-Western Medicine in Perspective","acupuncture","True","False"
"Homeopathy for Acupuncturists","acupuncture","True","False"
"Spec Topics Occup Therapy I","acupuncture","False","False"
"Spec Topics Occup Therapy II","acupuncture","False","False"
"Spec Topics Occup Therapy III","acupuncture","False","False"
"Neuroscience for Occup Therapy","acupuncture","False","False"
"Occup Therapy Work Env","acupuncture","False","False"
"Found of Occup Therapy","acupuncture","False","False"
"Ovrview Occup Therapy Practice","acupuncture","False","False"
"Yoga Therapy","acupuncture","False","False"
"Complementary and Alternative Therapy","acupuncture","True","False"
"Complementary Therapies","acupuncture","True","False"
"Complementary Health Therapies","acupuncture","True","False"
"Therapeutic Massage","acupuncture","False","False"
"Exploring Complementary Therapies","acupuncture","True","False"
"Complementary and Alternative Therapies","acupuncture","True","False"
"Complementary Therapy and Wellness","acupuncture","True","False"
"Complementary Therapies for Health, Wellness and Cognition","acupuncture","True","False"
"Meditation","Buddhist Meditation","True","True"
"Meditation: Psychological and Buddhist Perspectives","Buddhist Meditation","True","False"
"Meditation Practice","Buddhist Meditation","True","False"
"Yoga Meditation","Buddhist Meditation","True","False"
"Mindfulness Meditation","Buddhist Meditation","True","False"
"Meditation and Yoga","Buddhist Meditation","True","False"
"Buddhism: Introduction to Meditation Practice","Buddhist Meditation","True","False"
"Buddhist Meditation: Cultivation Practices and Psychology","Buddhist Meditation","True","False"
"Yoga/Meditation","Buddhist Meditation","True","False"
"Yoga and Meditation","Buddhist Meditation","True","False"
"Meditation I","Buddhist Meditation","True","False"
"Introduction to Meditation","Buddhist Meditation","True","False"
"Psychology of Meditation","Buddhist Meditation","True","False"
"Meditation and Mindfulness","Buddhist Meditation","True","False"
"The Psychology of Meditation","Buddhist Meditation","True","False"
"Intro to Meditation","Buddhist Meditation","True","False"
"Meditation and Mystical Experience","Buddhist Meditation","True","False"
"Introduction to Buddhism: Mind and Meditation","Buddhist Meditation","True","False"
"Meditation for Health and Wellness","Buddhist Meditation","True","False"
"MEDITATION: THEORY and PRACTICE","Buddhist Meditation","True","False"
"Buddhist Thought and Practice","Buddhist Meditation","True","False"
"Asian Meditation Practices","Buddhist Meditation","True","False"
"The Art of Yoga and Meditation","Buddhist Meditation","True","False"
"Mindfulness and Meditation","Buddhist Meditation","True","False"
"Meditation and Mindfulness Practices","Buddhist Meditation","True","False"
"Body-Mind Centering","Body Mind Centering","True","True"
"Mind and Body Control","Body Mind Centering","True","False"
"The Body Mind Connection","Body Mind Centering","True","False"
"Mind-Body Conditioning","Body Mind Centering","True","False"
"Mind-Body Connection","Body Mind Centering","True","True"
"Mind-Body Therapies and Practices","Body Mind Centering","True","False"
"Mind-Body Fitness","Body Mind Centering","True","False"
"Science of the Mind-Body Connection","Body Mind Centering","True","False"
"Mind/Body Techniques","Body Mind Centering","True","False"
"BIOCOG: The MindBody Problem","Body Mind Centering","True","False"
"Yoga: Union of Mind and Body","Body Mind Centering","True","False"
"Body-Mind Literacy","Body Mind Centering","True","False"
"Mind-Body in Health and Wellness","Body Mind Centering","True","False"
"Keeping It in Check: Body and Mind","Body Mind Centering","True","False"
"Body Awareness","Body Mind Centering","True","False"
"Psychology of Mind and Body","Body Mind Centering","True","False"
"Thinking Bodies","Body Mind Centering","True","False"
"Body/Mind","Body Mind Centering","True","True"
"Mind/Body Health","Body Mind Centering","True","False"
"Body-Mind Awareness, Breath and Movement","Body Mind Centering","True","False"
"Psychology of Mind/Body","Body Mind Centering","True","False"
"Training the Body and Mind","Body Mind Centering","True","False"
"The MindBody Problem","Body Mind Centering","True","False"
"The Healthy Mind and Body","Body Mind Centering","True","False"
"Mind Body Wellness","Body Mind Centering","True","False"
"Art Therapy: An Introduction","Art Therapy And Mental Health","True","False"
"Art Therapy","Art Therapy And Mental Health","True","True"
"Art Therapy Practices","Art Therapy And Mental Health","True","False"
"Art and Therapy","Art Therapy And Mental Health","True","True"
"Art Therapy in Practice","Art Therapy And Mental Health","True","False"
"Art Therapy Research","Art Therapy And Mental Health","True","False"
"Art as Therapy","Art Therapy And Mental Health","True","False"
"Art Therapy: The People, Places, and Practices of Art Therapy","Art Therapy And Mental Health","True","False"
"Research in Art Therapy","Art Therapy And Mental Health","True","False"
"Introduction to Art Therapy Research","Art Therapy And Mental Health","True","False"
"Introduction to Art Therapy","Art Therapy And Mental Health","True","False"
"Art Therapy Theory and Practice","Art Therapy And Mental Health","True","False"
"Art Therapy in Counseling","Art Therapy And Mental Health","True","False"
"Art Therapy Fundamentals","Art Therapy And Mental Health","True","False"
"An Overview of Art Therapy","Art Therapy And Mental Health","True","False"
"Art Therapy in Diverse Settings","Art Therapy And Mental Health","True","False"
"Foundations of Art Therapy","Art Therapy And Mental Health","True","False"
"Art Therapy: Theory and Practice (Art Therapy)","Art Therapy And Mental Health","True","False"
"Art Therapy: Applications and Techniques","Art Therapy And Mental Health","True","False"
"Theory and Practice of Art Therapy","Art Therapy And Mental Health","True","False"
"Art Therapy Techniques","Art Therapy And Mental Health","True","False"
"Experience and Research in Art Therapy","Art Therapy And Mental Health","True","False"
"Art Therapy Theory and Applications","Art Therapy And Mental Health","True","False"
"Art Therapy Methods","Art Therapy And Mental Health","True","False"
"Special Topics in Art Therapy","Art Therapy And Mental Health","True","False"
"Combat in Film","Combat","True","False"
"Combative Ii","Combat","True","False"
"Violence and Warfare","Combat","True","False"
"Combat for the Actor","Combat","True","False"
"Combat for the Stage","Combat","True","False"
"Medieval Warfare","Combat","True","False"
"Stage Combat I","Combat","True","False"
"A History of Military Warfare","Combat","True","False"
"Warfare and Society","Combat","True","False"
"Stage Combat","Combat","True","True"
"Warfighting Functions","Combat","True","False"
"AHistory of Military Warfare","Combat","True","False"
"Cyber Warfare","Combat","True","False"
"Modern Warfare","Combat","True","False"
"Theory and Analysis of Combative Activities","Combat","True","False"
"Cardio Combat","Combat","True","False"
"Beginning Combatives","Combat","True","False"
"Warfare and Violent Conflict","Combat","True","False"
"Military Tactics","Combat","True","False"
"Introduction to Fight Direction","Combat","True","False"
"Stage Combat -A","Combat","True","False"
"War (B)","Combat","True","False"
"Warfare in the Western World","Combat","True","False"
"The History of Warfare","Combat","True","False"
"Stage Combat: Armed","Combat","True","False"
"Health Care Operations","Healthcare Operations","True","True"
"Healthcare Operation","Healthcare Operations","True","True"
"Healthcare Service Operations","Healthcare Operations","True","False"
"Healthcare Systems and Operations","Healthcare Operations","True","False"
"Healthcare Operations Management","Healthcare Operations","True","False"
"Healthcare Management and Operations","Healthcare Operations","True","False"
"Healthcare Management Operations","Healthcare Operations","True","False"
"HealthCare Organizations and Operations","Healthcare Operations","True","False"
"Health Care Systems and Operations","Healthcare Operations","True","False"
"Healthcare Operations Analysis","Healthcare Operations","True","False"
"Health Care Operations and Administration","Healthcare Operations","True","False"
"Healthcare Facilities Operations","Healthcare Operations","True","False"
"Healthcare Operation Management","Healthcare Operations","True","False"
"Health Care Operations Management","Healthcare Operations","True","False"
"Healthcare Operations MGMT","Healthcare Operations","True","False"
"Healthcare Introduction to Operations","Healthcare Operations","True","False"
"Health Care Organization Operations","Healthcare Operations","True","False"
"Health Operations Management","Healthcare Operations","True","False"
"Healthcare Operations and Economics","Healthcare Operations","True","False"
"Operations Management in Health Care","Healthcare Operations","True","False"
"Health Care Business Operations","Healthcare Operations","True","False"
"Operations Management for Health Administration","Healthcare Operations","True","False"
"Managing Health Care Operations","Healthcare Operations","True","False"
"Operations Management in the Healthcare Sector","Healthcare Operations","True","False"
"Operations Management in Health Care Organizations","Healthcare Operations","True","False"
"Performance Measurement and Analysis","Performance Measurement","True","False"
"Performance Analysis and Measurement","Performance Measurement","True","True"
"Performance Metrics","Performance Measurement","True","False"
"Performance Measurement and Management","Performance Measurement","True","False"
"Performance Improvement Measurement and Methodologies","Performance Measurement","True","False"
"Performance Analysis","Performance Measurement","True","False"
"Measurement, Analysis, and Models for Performance Improvement","Performance Measurement","True","False"
"Introduction to Performance Measurement, Modeling and Analysis","Performance Measurement","True","False"
"Performance Monitoring and Evaluation","Performance Measurement","True","False"
"Performance Study","Performance Measurement","True","False"
"Systems Performance and Measurement","Performance Measurement","True","False"
"Performance Evaluation","Performance Measurement","True","False"
"Fundamentals of Performance","Performance Measurement","True","False"
"Performance","Performance Measurement","True","True"
"Performance Analytics","Performance Measurement","True","False"
"Performance Measurement and Program Evaluation","Performance Measurement","True","False"
"Performance Assessment","Performance Measurement","True","False"
"Fundamentals of Performance II","Performance Measurement","True","False"
"Performance Fundamentals","Performance Measurement","True","False"
"Performance and Analysis","Performance Measurement","True","False"
"Introduction to Performance","Performance Measurement","True","False"
"Performance Measurement and Control Systems Perspective","Performance Measurement","True","False"
"Fundamentals of Performance I","Performance Measurement","True","False"
"Performance Evaluation and Analysis","Performance Measurement","True","False"
"Methods of Performance Interpreting","Performance Measurement","True","False"
"Chinese Buddhist Philosophy","Buddhist Philosophy","True","False"
"Buddhism","Buddhist Philosophy","True","True"
"Buddhist Psychology","Buddhist Philosophy","True","False"
"Indian and Buddhist Philosophy","Buddhist Philosophy","True","False"
"Hist of Buddhist Philosophy","Buddhist Philosophy","True","False"
"The Philosophy of Zen Buddhism","Buddhist Philosophy","True","False"
"Buddhist Ethics","Buddhist Philosophy","True","False"
"Classical Buddhist and Hindu Philosophy","Buddhist Philosophy","True","False"
"Zen Buddhism","Buddhist Philosophy","True","False"
"Introduction to Buddhism","Buddhist Philosophy","True","False"
"Buddhisms","Buddhist Philosophy","True","True"
"History of Buddhist Philosophy","Buddhist Philosophy","True","False"
"The Study of Buddhism","Buddhist Philosophy","True","False"
"Foundations of Buddhism","Buddhist Philosophy","True","False"
"A Buddhist Life","Buddhist Philosophy","True","False"
"Contemporary Buddhism","Buddhist Philosophy","True","False"
"Indo-Tibetan Buddhist Philosophy","Buddhist Philosophy","True","False"
"Buddhism, Philosophy and Culture","Buddhist Philosophy","True","False"
"The Vision of Buddhism","Buddhist Philosophy","True","False"
"Chinese Buddhism","Buddhist Philosophy","True","False"
"An Introduction to Buddhism","Buddhist Philosophy","True","False"
"The Buddhist Tradition","Buddhist Philosophy","True","False"
"Zen and Buddhism","Buddhist Philosophy","True","False"
"Buddhist Thought and Practice","Buddhist Philosophy","True","False"
"Topics in Buddhist Thought","Buddhist Philosophy","True","False"
"Asian American Poetry","Asian Poetry","True","False"
"Classical East Asian Poetics","Asian Poetry","True","False"
"East Asian Buddhist Poetry","Asian Poetry","True","False"
"Topics in Literature-Asian American Poetry","Asian Poetry","True","False"
"Asian Literature","Asian Poetry","True","True"
"Asian Literatures","Asian Poetry","True","True"
"Contemporary Asian Literature","Asian Poetry","True","False"
"Asian American and Pacific Islander Poetry","Asian Poetry","True","False"
"Modern Asian Literature","Asian Poetry","True","False"
"Japanese Poetry","Asian Poetry","True","False"
"Introduction to Asian Literature","Asian Poetry","True","False"
"The Forms of Asian Literature","Asian Poetry","True","False"
"Contemp East Asian Literature","Asian Poetry","True","False"
"Chinese Literature: Poetry","Asian Poetry","True","False"
"Poetry of China and Japan (In English)","Asian Poetry","True","False"
"Introduction to Asian Literature (3)","Asian Poetry","True","False"
"Survey of Modern Asian Literature","Asian Poetry","True","False"
"South Asian Literature","Asian Poetry","True","False"
"Masterpieces of Asian Literature","Asian Poetry","True","False"
"Asian American Literature","Asian Poetry","True","False"
"Masterpieces of East Asian Literature","Asian Poetry","True","False"
"East Asian Literature in Translation","Asian Poetry","True","False"
"Global Asian Literature","Asian Poetry","True","False"
"Japanese Poetry and Poetics","Asian Poetry","True","False"
"Asian-American Literature","Asian Poetry","True","False"
"Climate Policy","Climate Change Policy","True","True"
"Climate Change Policy and Solutions","Climate Change Policy","True","False"
"CLIMATE CHANGE SCIENCE and POLICY","Climate Change Policy","True","False"
"Climate Change and Public Policy","Climate Change Policy","True","False"
"Climate Change Law and Policy","Climate Change Policy","True","False"
"Climate Science and Policy","Climate Change Policy","True","False"
"Climate Change: Science to Policy","Climate Change Policy","True","False"
"Policy Advocacy: Climate Change","Climate Change Policy","True","False"
"Climate Change Economics and Policy","Climate Change Policy","True","False"
"Environmental and Climate Policy","Climate Change Policy","True","False"
"Climate Change: From Puzzles to Policy","Climate Change Policy","True","False"
"Science and Policy of Climate Change","Climate Change Policy","True","False"
"Climate Change: Law and Policy","Climate Change Policy","True","False"
"Climate Change: Science and Policy","Climate Change Policy","True","False"
"Climate Change Policy and Environmental Security","Climate Change Policy","True","False"
"Introduction to Climate Policy","Climate Change Policy","True","False"
"Climate Change Adaptation Policy and Practice","Climate Change Policy","True","False"
"Advanced Climate Policy","Climate Change Policy","True","False"
"Climate Change: Policy, Adaptation, and Mitigation","Climate Change Policy","True","False"
"Climate Change, Adaptation, and Policy","Climate Change Policy","True","False"
"Climate Politics and Policy","Climate Change Policy","True","False"
"Climate Change","Climate Change Policy","False","True"
"Climate Change and the International Policy Framework","Climate Change Policy","True","False"
"Climate Change: From Puzzles to Policy--Laborator","Climate Change Policy","True","False"
"Economics and Policy of Climate Change","Climate Change Policy","True","False"
"Young Adolescent Development","Adolescent Development","True","False"
"Development of the Adolescent","Adolescent Development","True","False"
"Child-Adolescent Development","Adolescent Development","True","False"
"Early Adolescent Development","Adolescent Development","True","False"
"Child/Adolescent Development","Adolescent Development","True","False"
"The Developing Adolescent","Adolescent Development","True","False"
"Adolescent and Adult Development","Adolescent Development","True","False"
"Child and Young Adolescent Development","Adolescent Development","True","False"
"Child &Adolescent Development","Adolescent Development","True","False"
"Child and Adolescent Development","Adolescent Development","True","False"
"Development Adolescence","Adolescent Development","True","False"
"Development in Adolescence","Adolescent Development","True","False"
"Adolescent Development (3)","Adolescent Development","True","True"
"Adolescent Development and Psychology","Adolescent Development","True","False"
"Adolescent Growth/Development","Adolescent Development","True","False"
"Adolescent and Young Adult Development","Adolescent Development","True","False"
"Adolescent Growth and Development","Adolescent Development","True","False"
"Adolescent Development in School","Adolescent Development","True","False"
"Young Adolescent Growth and Development","Adolescent Development","True","False"
"Adolescent Development and Learning","Adolescent Development","True","False"
"Adolescent Development and Education","Adolescent Development","True","False"
"Development of the Child and Adolescent","Adolescent Development","True","False"
"Adolescent Development: 9 - 18","Adolescent Development","True","False"
"Developing Adolescence","Adolescent Development","True","False"
"Adolescent Development: From Puberty to Young Adulthood","Adolescent Development","True","False"
"American Public Affairs","public affairs","True","False"
"Administration of Public Affairs","public affairs","True","False"
"Law and Public Affairs","public affairs","True","False"
"Introduction to Public Affairs","public affairs","True","False"
"Reporting Public Affairs","public affairs","True","False"
"News and Public Affairs","public affairs","True","False"
"Public Administration","public affairs","True","False"
"Public Affairs Careers","public affairs","True","False"
"Public Affairs Reporting","public affairs","True","False"
"Public Affairs and Community Relations","public affairs","True","False"
"Reporting of Public Affairs","public affairs","True","False"
"Coverage of Public Affairs","public affairs","True","False"
"Ethics and Public Affairs","public affairs","True","False"
"Public Affairs Concepts and Theory","public affairs","True","False"
"Politics Public Administration","public affairs","True","False"
"Admin in Public Affairs","public affairs","True","False"
"Public Relations Agency","public affairs","False","False"
"Urban Affairs in Public Administration","public affairs","True","False"
"Public Relations Administration","public affairs","False","False"
"Topics in Public Affairs","public affairs","True","False"
"American Public Administration","public affairs","True","False"
"Practicum in Public Affairs","public affairs","True","False"
"Research in Public Affairs","public affairs","True","False"
"Public Administration and Public Service","public affairs","True","False"
"Public Administration I","public affairs","True","False"
"Quality Assurance I","Quality Assurance","True","False"
"Quality Assurance Systems","Quality Assurance","True","False"
"Quality Assurance Management","Quality Assurance","True","False"
"Quality Assurance and Quality Control","Quality Assurance","True","False"
"Introduction to Quality Assurance","Quality Assurance","True","False"
"Quality Control and Assurance","Quality Assurance","True","False"
"Quality Assurance Quality Control","Quality Assurance","True","False"
"Quality Assurance II","Quality Assurance","True","False"
"Quality Assurance and Testing","Quality Assurance","True","False"
"Quality Assurance and Control","Quality Assurance","True","False"
"Quality Management/Assurance","Quality Assurance","True","False"
"Quality Assurance and Performance Improvement","Quality Assurance","True","False"
"Quality Assurance Philosophy","Quality Assurance","True","False"
"Quality Assurance Standards and Methods","Quality Assurance","True","False"
"Quality Assurance and Risk","Quality Assurance","True","False"
"Product Quality Assurance","Quality Assurance","True","False"
"Quality Assurance and Reliability","Quality Assurance","True","False"
"Healthcare Quality Assurance","Quality Assurance","True","False"
"Quality Assurance MGMT","Quality Assurance","True","False"
"Testing and Quality Assurance","Quality Assurance","True","False"
"Software Quality Assurance","Quality Assurance","True","False"
"Production and Quality Assurance","Quality Assurance","True","False"
"Quality Assurance Tools","Quality Assurance","True","False"
"Selected Topics in Quality Assurance","Quality Assurance","True","False"
"Quality Assurance and Total Quality Management","Quality Assurance","True","False"
"Clinical Research","Clinical Studies","True","False"
"Clinical Studies I","Clinical Studies","True","False"
"Clinical Case Studies","Clinical Studies","True","False"
"Research and Clinical Practice","Clinical Studies","True","False"
"Clinical Case Studies I","Clinical Studies","True","False"
"Clinical Research Project","Clinical Studies","True","False"
"Clinical Research I","Clinical Studies","True","False"
"Advanced Clinical Studies","Clinical Studies","True","False"
"Clinical Project","Clinical Studies","True","False"
"Clinical Case Study I","Clinical Studies","True","False"
"Clinical Field Study","Clinical Studies","True","False"
"Clinical Research II","Clinical Studies","True","False"
"Clinical Sciences","Clinical Studies","True","False"
"Clinical","Clinical Studies","True","True"
"Introduction to Clinical Research","Clinical Studies","True","False"
"Clinical Research Methods","Clinical Studies","True","False"
"Clinical Case Studies II","Clinical Studies","True","False"
"Clinical Observation","Clinical Studies","True","False"
"Clinical: Fundamentals","Clinical Studies","True","False"
"Research in Clinical Sciences","Clinical Studies","True","False"
"Conducting Clinical Research","Clinical Studies","True","False"
"Clinical Practice","Clinical Studies","True","False"
"Advanced Clinical Research","Clinical Studies","True","False"
"Clinical and Research Assessment","Clinical Studies","True","False"
"Clinical Research: Design and Analysis","Clinical Studies","True","False"
"Advanced Retail Data Analytics","retail analytics","True","False"
"Sales Analytics","retail analytics","True","False"
"Retail Buying and Analysis I","retail analytics","True","False"
"Customer Analytics","retail analytics","True","False"
"Consumer Analytics","retail analytics","True","False"
"Retailing Strategy and Metrics","retail analytics","True","False"
"Marketing Analytics","retail analytics","True","False"
"Retail Marketing","retail analytics","True","False"
"Retailing Management","retail analytics","True","False"
"Business Analytics","retail analytics","True","False"
"Customer Data Analytics","retail analytics","True","False"
"Retailing and Retail Management","retail analytics","True","False"
"E-Commerce and Marketing Analytics","retail analytics","True","False"
"Consumer Behavior and Analytics","retail analytics","True","False"
"Retail Planning","retail analytics","True","False"
"Fundamentals of Retailing","retail analytics","True","False"
"Retail Management","retail analytics","True","False"
"Retail Store Management","retail analytics","True","False"
"Marketing Analytics I","retail analytics","True","False"
"Retail Trend Analysis and Forecasting","retail analytics","True","False"
"Retailing and Consumer Behavior","retail analytics","True","False"
"Analytics for Marketing","retail analytics","True","False"
"Retail Strategy","retail analytics","True","False"
"Retailing Strategy","retail analytics","True","False"
"Marketing Data Analytics","retail analytics","True","False"
"Credit Risk Analysis and Management","Credit Risk Analysis","True","False"
"Commercial Credit Risk Analysis","Credit Risk Analysis","True","False"
"Credit Risk","Credit Risk Analysis","True","True"
"Credit Analysis","Credit Risk Analysis","True","True"
"Credit Risk Management","Credit Risk Analysis","True","False"
"Financial Risk Analysis","Credit Risk Analysis","True","False"
"Credit Analysis I","Credit Risk Analysis","True","False"
"Credit and Market Risk Fundamentals","Credit Risk Analysis","True","False"
"Data Analytics and Credit Risk","Credit Risk Analysis","True","False"
"Market and Credit Risk Management","Credit Risk Analysis","True","False"
"BANKING and CREDIT ANALYSIS","Credit Risk Analysis","True","False"
"Credit and Financial Statement Analysis","Credit Risk Analysis","True","False"
"Credit Analysis in Commercial Banking","Credit Risk Analysis","True","False"
"Commercial Credit Analysis","Credit Risk Analysis","True","False"
"Financial Statement and Credit Analysis","Credit Risk Analysis","True","False"
"Risk Analysis","Credit Risk Analysis","False","True"
"Financial Statement/Risk Analysis","Credit Risk Analysis","True","False"
"Risk Analysis in Insurance and Finance","Credit Risk Analysis","True","False"
"Commercial Lending and Credit Analysis","Credit Risk Analysis","True","False"
"Credit Analysis and Loan Structures","Credit Risk Analysis","True","False"
"Introduction to Risk Analysis","Credit Risk Analysis","True","False"
"Risk Management Analysis","Credit Risk Analysis","True","False"
"Financial and Risk Analytics","Credit Risk Analysis","True","False"
"Risk Analysis and Financial Modeling","Credit Risk Analysis","True","False"
"Credit Portfolio Assessment in the Discipline","Credit Risk Analysis","True","False"
"Food Safety and Health","Food Safety","True","False"
"Food Safety (3)","Food Safety","True","True"
"Food Safety and Security","Food Safety","True","False"
"Food and Safety","Food Safety","True","True"
"Food Safety and Nutrition","Food Safety","True","False"
"Introduction to Food Safety","Food Safety","True","False"
"Principles of Food and Food Safety","Food Safety","True","False"
"Food Safety and Regulations","Food Safety","True","False"
"Principles of Food Safety","Food Safety","True","False"
"Food Safety and Quality","Food Safety","True","False"
"Food Safety and Science","Food Safety","True","False"
"Advanced Food Safety","Food Safety","True","False"
"Food Safety and Consumer Protection","Food Safety","True","False"
"Produce Food Safety","Food Safety","True","False"
"Food Safety: Policy, Regulations and Issues","Food Safety","True","False"
"Food Safety Management and Regulations","Food Safety","True","False"
"Food Safety Risk Analysis","Food Safety","True","False"
"Food Safety and Regulation","Food Safety","True","False"
"Food Safety Practicum","Food Safety","True","False"
"Food Safety and Modernization","Food Safety","True","False"
"Food Safety Science","Food Safety","True","False"
"Food Safety Programs","Food Safety","True","False"
"Introduction to Food Safety Management and Practice","Food Safety","True","False"
"Introduction to Quality and Food Safety","Food Safety","True","False"
"Food Safety and Quality: Food Safety Management","Food Safety","True","False"
"Science Colloquium","Acquatic Science","False","False"
"Scientific Inquiry II","Acquatic Science","False","False"
"Science Inquiry II","Acquatic Science","False","False"
"Science in the Elementary Curr","Acquatic Science","False","False"
"Natural Science","Acquatic Science","True","False"
"AC Theory","Acquatic Science","False","False"
"Math and Science Acquistion","Acquatic Science","False","False"
"Natural Sciences","Acquatic Science","True","False"
"Scientific Inquiry III","Acquatic Science","False","False"
"Natural Science I (Physical Science)","Acquatic Science","False","False"
"Natural Science Inquiry","Acquatic Science","False","False"
"Science Course [Scientific Reasoning]","Acquatic Science","False","False"
"Scientific Inquiry IV","Acquatic Science","False","False"
"Science by Inquiry","Acquatic Science","False","False"
"Science Inquiry I","Acquatic Science","False","False"
"Inst Math/Science","Acquatic Science","False","False"
"Physical Science by Inquiry","Acquatic Science","False","False"
"Science and Pseudoscience","Acquatic Science","False","False"
"Physical Science by Inqury","Acquatic Science","False","False"
"Modern Science","Acquatic Science","False","False"
"Scientific Inquiry-Honors","Acquatic Science","False","False"
"Natural Science W/Lab","Acquatic Science","True","False"
"Investigating Science","Acquatic Science","False","False"
"American Science","Acquatic Science","False","False"
"SQ Philosophy of Science","Acquatic Science","False","False"
"Access Control and System Security","Access Control","True","False"
"Securing Access Control","Access Control","True","False"
"Access Control and System Securi","Access Control","True","False"
"Advanced Access","Access Control","True","False"
"Access","Access Control","True","True"
"Microsoft Access","Access Control","False","False"
"MS Access","Access Control","False","False"
"Security Controls","Access Control","True","False"
"Introduction to Access","Access Control","True","False"
"Advanced Microsoft Access","Access Control","False","False"
"Access Control and System Secu","Access Control","True","False"
"Advanced MS Access","Access Control","False","False"
"Access Controls, Security Models and Cryptology","Access Control","True","False"
"Microsoft Access: Basic","Access Control","False","False"
"Security and Control","Access Control","True","False"
"Introduction to Microsoft Access","Access Control","False","False"
"Information Access","Access Control","False","False"
"Identity and Access Management","Access Control","True","False"
"Introduction to MS Access","Access Control","False","False"
"Computer Security and Control","Access Control","True","False"
"Microsoft Access II","Access Control","False","False"
"Database (Access)","Access Control","False","False"
"Organization and Access","Access Control","False","False"
"Network Security Controls","Access Control","True","False"
"Control System Security","Access Control","True","False"
"Health Care Services","Health Services","True","True"
"Health Service Systems","Health Services","True","False"
"Health Systems and Services","Health Services","True","False"
"Health Services in the US","Health Services","True","False"
"Public Health Services","Health Services","True","False"
"Health Systems","Health Services","True","False"
"Health Education Services","Health Services","True","False"
"Patient Services","Health Services","True","False"
