"A","B","A->B","B->A"
"Social Policy and Social Services","Social Policy","True","False"
"Social Policies and Programs","Social Policy","True","False"
"Social Issues and Policy","Social Policy","True","False"
"Social Problems and Policy","Social Policy","True","False"
"Advanced Social Policy","Social Policy","True","False"
"Social Welfare Policy","Social Policy","True","False"
"Social Policy and Change","Social Policy","True","False"
"Introduction to Social Policy","Social Policy","True","False"
"Italian Through Music","Italian Music","True","False"
"Music and Italian Cinema","Italian Music","True","False"
"Italian Culture Through the Arts and Music","Italian Music","True","False"
"Italian for Singers","Italian Music","True","False"
"Italian Composition","Italian Music","False","False"
"Canta Che Ti Passa!: Italian Through Music","Italian Music","True","False"
"Advanced Italian Composition","Italian Music","False","False"
"Italian Diction/Song Literature","Italian Music","True","False"
"Renaissance Music","Italian Music","False","False"
"Italian in Italy","Italian Music","True","False"
"Intro Italian Lit","Italian Music","False","False"
"Italian Composition II","Italian Music","False","False"
"Music Diction for Singers I: Italian and French","Italian Music","True","False"
"Italian Stylistics","Italian Music","False","False"
"Italian Composition in Cultural Contexts","Italian Music","False","False"
"Intermediate Italian Composition","Italian Music","False","False"
"Italian Composition Through Film","Italian Music","False","False"
"Intro to Contemporary Italy","Italian Music","False","False"
"CA) Music in the Renaissance","Italian Music","False","False"
"Music of the Renaissance","Italian Music","False","False"
"Latin American Music","Italian Music","False","False"
"Italian","Italian Music","True","False"
"Language of Music","Italian Music","False","True"
"Francophone Music","Italian Music","False","False"
"Intro to Italian Lit and Culture","Italian Music","False","False"
"Food Preparation I","Food Preparation","True","False"
"Techniques of Food Preparation","Food Preparation","True","False"
"Advanced Food Preparation","Food Preparation","True","False"
"Basic Food Preparation","Food Preparation","True","False"
"Food Preparation Principles","Food Preparation","True","False"
"Introduction to Food Preparation","Food Preparation","True","False"
"Science of Food Preparation","Food Preparation","True","False"
"Principles of Food Preparation","Food Preparation","True","False"
"Food Preparation Fundamentals","Food Preparation","True","False"
"Introductory Food Preparation","Food Preparation","True","False"
"Food Preparation Methodology","Food Preparation","True","False"
"Healthy Food Preparation","Food Preparation","True","False"
"Scientific Aspects of Food Preparation","Food Preparation","True","False"
"Principles and Analysis of Food Preparation","Food Preparation","True","False"
"Food Science and Preparation","Food Preparation","True","False"
"Techniques for Healthy and Safe Food Preparation","Food Preparation","True","False"
"Food Principles and Preparation","Food Preparation","True","False"
"Food Preparation and Management I","Food Preparation","True","False"
"Food Preparation and Selection","Food Preparation","True","False"
"Food Science and Preparation Techniques","Food Preparation","True","False"
"Principles of Food Preparations","Food Preparation","True","False"
"Nutrition Science and Food Preparation","Food Preparation","True","False"
"Food Preparation and Management II","Food Preparation","True","False"
"Introduction to Commercial Food Preparation","Food Preparation","True","False"
"Quantity Food Preparation","Food Preparation","True","False"
"Research Methods for Public Policy","Public Policy Research Methods","True","True"
"Applied Public Policy Research Methods","Public Policy Research Methods","True","False"
"Public Policy Research Design and Methods","Public Policy Research Methods","True","True"
"Public Policy Research","Public Policy Research Methods","False","True"
"Advanced Studies in Public Policy Research Methods","Public Policy Research Methods","True","False"
"Research in Public Policy","Public Policy Research Methods","False","True"
"Public Policy Studies","Public Policy Research Methods","False","True"
"Research Methods for Public Administration and Policy","Public Policy Research Methods","False","True"
"Research Methods I for Policy","Public Policy Research Methods","True","False"
"Methods of Social Policy Research","Public Policy Research Methods","False","False"
"Studies in Public Policy","Public Policy Research Methods","False","True"
"Advanced Methods for Public Policy","Public Policy Research Methods","True","False"
"Research Methods II for Policy","Public Policy Research Methods","True","False"
"Public Policy Field-Study","Public Policy Research Methods","False","False"
"Research Methods for Policy Analysis","Public Policy Research Methods","True","False"
"Policy Research and Methodology","Public Policy Research Methods","False","True"
"Study of Public Policy","Public Policy Research Methods","False","True"
"Analytic Methods for Public Policy Analysis","Public Policy Research Methods","True","False"
"Research Methods and Policy Analysis","Public Policy Research Methods","False","True"
"Public Policy Analysis","Public Policy Research Methods","False","False"
"Research Methods in Political Science and Policy Studies","Public Policy Research Methods","False","True"
"Public Policy-Making","Public Policy Research Methods","False","False"
"Research Design and Methods for Social Policy","Public Policy Research Methods","False","False"
"Public Policy and Analysis","Public Policy Research Methods","False","False"
"Research Methods and Policy Evaluation","Public Policy Research Methods","False","True"
"Optimization I","Optimization","True","False"
"Optimization II","Optimization","True","False"
"Mathematical Optimization","Optimization","True","False"
"Mathematical Optimization I","Optimization","True","False"
"Applied Optimization","Optimization","True","False"
"Computational Optimization","Optimization","True","False"
"Mathematical Optimization II","Optimization","True","False"
"Optimization Theory","Optimization","True","False"
"Optimization Methods","Optimization","True","False"
"Optimization and Computing","Optimization","True","False"
"Optimization Techniques","Optimization","True","False"
"Methods of Optimization","Optimization","True","False"
"Optimization (Graduate)","Optimization","True","False"
"Advanced Optimization","Optimization","True","False"
"Linear Optimization","Optimization","True","False"
"Nonlinear Optimization","Optimization","True","False"
"Algorithms and Optimization","Optimization","True","False"
"Numerical Optimization I","Optimization","True","False"
"Numerical Optimization","Optimization","True","False"
"System Optimization","Optimization","True","False"
"Mathematical Optimization Theory","Optimization","True","False"
"Optimization Algorithms and Software","Optimization","True","False"
"Methods in Optimization","Optimization","True","False"
"Engineering Optimization I","Optimization","True","False"
"Optimization Modeling","Optimization","True","False"
"Management for Healthcare","Healthcare Management","True","True"
"Management in Healthcare","Healthcare Management","True","True"
"Healthcare Management I","Healthcare Management","True","False"
"Health Care Management","Healthcare Management","True","True"
"Healthcare Services Management","Healthcare Management","True","False"
"Health Management","Healthcare Management","False","True"
"Healthcare Systems Management","Healthcare Management","True","False"
"Healthcare Management and Administration","Healthcare Management","False","True"
"Healthcare Management Operations","Healthcare Management","True","False"
"Healthcare Administration and Management","Healthcare Management","False","True"
"Healthcare Organizational Management","Healthcare Management","True","False"
"Management in Healthcare Organizations","Healthcare Management","True","False"
"Healthcare Management and Operations","Healthcare Management","False","True"
"Management and Healthcare Systems","Healthcare Management","False","True"
"Healthcare Management (3)","Healthcare Management","True","True"
"Health Care Management I","Healthcare Management","True","False"
"Management in Health Care","Healthcare Management","True","True"
"Healthcare Management and Personnel","Healthcare Management","False","True"
"Healthcare Management and Policy","Healthcare Management","False","True"
"Healthcare Organization and Management","Healthcare Management","False","True"
"Fundamentals of Healthcare Management","Healthcare Management","True","False"
"Management/Administration in Healthcare","Healthcare Management","False","True"
"Perspectives on Healthcare Management","Healthcare Management","True","False"
"Healthcare Management Strategies","Healthcare Management","True","False"
"Management in Healthcare Contexts","Healthcare Management","True","True"
"Health Care Administration","Healthcare Administration","True","True"
"Healthcare Administration I","Healthcare Administration","True","False"
"Administration in Healthcare","Healthcare Administration","True","True"
"Healthcare Administration and Management","Healthcare Administration","False","True"
"Health Care Administration I","Healthcare Administration","True","False"
"Health Administration","Healthcare Administration","True","True"
"Health Service Administration","Healthcare Administration","True","True"
"Health Services Administration","Healthcare Administration","True","True"
"Healthcare Management and Administration","Healthcare Administration","False","True"
"Hospital and Health Care Administration","Healthcare Administration","True","False"
"Administration in Health Care","Healthcare Administration","True","True"
"Healthcare Organizations and Administration","Healthcare Administration","False","True"
"Healthcare Administration Practice","Healthcare Administration","True","False"
"Hospital and Health Administration","Healthcare Administration","True","False"
"Health Systems Administration","Healthcare Administration","True","False"
"Health Care Organization and Administration","Healthcare Administration","False","True"
"Healthcare Administration and Policy","Healthcare Administration","False","True"
"Management/Administration in Healthcare","Healthcare Administration","False","True"
"Healthcare Administration Ii","Healthcare Administration","True","False"
"Hospital and Health Services Administration","Healthcare Administration","True","False"
"Healthcare Administration Oper","Healthcare Administration","True","False"
"Health Administration and Service","Healthcare Administration","False","True"
"Advanced Healthcare Administration","Healthcare Administration","True","False"
"Hospital Administration","Healthcare Administration","True","False"
"Health Care Systems and Administration","Healthcare Administration","False","True"
"Advanced Vascular Surgery","Vascular Surgery","True","False"
"Principles of Vascular Surgery","Vascular Surgery","True","False"
"Vascular Procedures I","Vascular Surgery","True","False"
"Vascular Surgery Rotation","Vascular Surgery","True","False"
"Introduction to Vascular and Endovascular Surgery","Vascular Surgery","True","False"
"Vascular Anatomy","Vascular Surgery","False","False"
"Introduction to Cardiovascular Surgery","Vascular Surgery","False","False"
"Introduction to Vascular Technology","Vascular Surgery","False","False"
"Vascular Surgery Virtual External Rotation","Vascular Surgery","True","False"
"Clinical Vascular III","Vascular Surgery","False","False"
"Vascular Clinical I","Vascular Surgery","False","False"
"Vascular Disease","Vascular Surgery","False","False"
"Vascular Clinical II","Vascular Surgery","False","False"
"Cardiac Surgery","Vascular Surgery","False","False"
"Surgery","Vascular Surgery","False","True"
"Vascular Technology I","Vascular Surgery","False","False"
"Vascular Imaging and Advanced Patient Care","Vascular Surgery","False","False"
"Clinical Vascular I","Vascular Surgery","False","False"
"Clinical Surgery","Vascular Surgery","False","True"
"Vascular Physiology","Vascular Surgery","False","False"
"Clinical Vascular II","Vascular Surgery","False","False"
"Vascular Technology Applications","Vascular Surgery","False","False"
"Basics of Vascular","Vascular Surgery","False","False"
"Advanced Cardiovascular Procedures","Vascular Surgery","False","False"
"Vascular Technology Procedures I for General Ultrasound","Vascular Surgery","False","False"
"Environmental Adaptations","Environmental Adaptation","True","True"
"Human Adaptation to Environmental Change","Environmental Adaptation","True","False"
"Human Ecological Adaptation","Environmental Adaptation","True","False"
"Ecology-Adaptation and Environment","Environmental Adaptation","False","False"
"Ecology and Adaptation","Environmental Adaptation","False","False"
"Environmental Conservation and Adaptation","Environmental Adaptation","False","True"
"Human Ecology and Adaptation","Environmental Adaptation","False","False"
"Adaptation","Environmental Adaptation","False","True"
"Ecology and Adaptations","Environmental Adaptation","False","False"
"Human Adaptation","Environmental Adaptation","False","True"
"Adaptations","Environmental Adaptation","False","True"
"Adaptation to Climate Change","Environmental Adaptation","True","False"
"Climate Change Adaptation","Environmental Adaptation","True","False"
"Environmental Change","Environmental Adaptation","False","False"
"Adaptation Studies","Environmental Adaptation","False","True"
"Ecology and Adaptation GE","Environmental Adaptation","False","False"
"Aquatic Adaptation (1)","Environmental Adaptation","True","False"
"The Changing Natural Environment","Environmental Adaptation","False","False"
"Evolution, Ecol and Adaptation","Environmental Adaptation","False","False"
"Climate Adaptation and Nature-Based Solutions","Environmental Adaptation","True","False"
"Human Adaptation to Change in Climate","Environmental Adaptation","True","False"
"Environmental Adaptations and Assistive Technology","Environmental Adaptation","False","True"
"Human Evolution, Ecology and Adaptation","Environmental Adaptation","False","False"
"Climate, Risk, and Adaptation","Environmental Adaptation","False","False"
"Humans and Environmental Change","Environmental Adaptation","False","False"
"Sports Medicine Clinical","Sports Medicine","True","False"
"Sports Medicine 1","Sports Medicine","True","False"
"Sports Medicine (3)","Sports Medicine","True","False"
"Sport Medicine in Athletics","Sports Medicine","True","False"
"Advanced Sports Medicine","Sports Medicine","True","False"
"Applied Sports Medicine","Sports Medicine","True","False"
"Sports Medicine 2","Sports Medicine","True","False"
"Pre-Professional Sports Medicine","Sports Medicine","True","False"
"Sports Medicine Perspectives","Sports Medicine","True","False"
"Sports Medicine Selective","Sports Medicine","True","False"
"Sports Medicine Administration","Sports Medicine","True","False"
"Sports Medicine Professions","Sports Medicine","True","False"
"Sports Medicine Observation","Sports Medicine","True","False"
"Introduction to Sports Medicine","Sports Medicine","True","False"
"Intro to Sports Medicine","Sports Medicine","True","False"
"Exercise and Sports Medicine","Sports Medicine","False","True"
"Introduction to Sport Medicine","Sports Medicine","True","False"
"Foundations of Sports Medicine","Sports Medicine","True","False"
"Concepts in Sports Medicine","Sports Medicine","True","False"
"Athletic Training/Sports Medicine","Sports Medicine","False","True"
"Exercise as Sports Medicine","Sports Medicine","False","False"
"Athletic Training and Sports Medicine","Sports Medicine","False","True"
"Sports Medicine in Family Medicine","Sports Medicine","True","False"
"Contemporary Issues in Sports Medicine","Sports Medicine","True","False"
"History, Organization and Administration of Sports Medicine","Sports Medicine","True","False"
"Health Education and Training","Health Education","False","True"
"Health Education in the School","Health Education","True","False"
"Health Science Education","Health Education","True","False"
"Health Care Education","Health Education","False","False"
"Health Education Training","Health Education","False","True"
"Health Education in Schools","Health Education","True","False"
"Health Education Management","Health Education","True","False"
"Health Education Planning","Health Education","True","False"
"The Health Education Profession","Health Education","True","False"
"School Health Education","Health Education","True","False"
"Health Education Practice","Health Education","True","False"
"Fundamentals of Health Education","Health Education","True","False"
"Healthcare Education","Health Education","False","False"
"Education for the Health Professions","Health Education","False","False"
"Teaching Health Education","Health Education","True","False"
"Public Health Education","Health Education","True","False"
"Introduction to Health Education","Health Education","True","False"
"Health Education for the School Health Educator","Health Education","True","False"
"Health Education Promotion","Health Education","True","False"
"Health Education Administration","Health Education","True","False"
"Health Education/Strategy","Health Education","True","False"
"Health Education in the Community","Health Education","True","False"
"Issues in Health Education","Health Education","True","False"
"Concepts of Health Education","Health Education","True","False"
"Health Education and Care Management","Health Education","False","True"
"Data Pipeline Engineering","Pipeline Engineering","False","False"
"Basic Piping for Contractors","Pipeline Engineering","False","False"
"Industrial Piping","Pipeline Engineering","False","False"
"Piping Systems","Pipeline Engineering","False","False"
"Introduction to Pipefitter Practices","Pipeline Engineering","False","False"
"Pipe System Design","Pipeline Engineering","False","False"
"Software Factory Pipelines","Pipeline Engineering","False","False"
"Pipe Drafting","Pipeline Engineering","False","False"
"Plumbing and Pipefitting Fundamentals","Pipeline Engineering","False","False"
"Game Engines - Workflows and Pipelines Ii","Pipeline Engineering","False","False"
"Game Engines - Workflows and Pipelines 1","Pipeline Engineering","False","False"
"Tube and Piping Skills","Pipeline Engineering","False","False"
"Piping, Tubing Systems and Pipefitting","Pipeline Engineering","False","False"
"Pipefitter Applications II","Pipeline Engineering","False","False"
"Plumbing Applications","Pipeline Engineering","False","False"
"Plumbing Advanced Topics","Pipeline Engineering","False","False"
"Business Data Pipelines","Pipeline Engineering","False","False"
"Workflow Intro Deve Pipelines","Pipeline Engineering","False","False"
"Plumbing: Introduction to Supply Systems","Pipeline Engineering","False","False"
"Flow in Pipe Networks","Pipeline Engineering","True","False"
"Pipe Welding","Pipeline Engineering","False","False"
"Game Processes and Pipeline","Pipeline Engineering","False","False"
"Basic Pipe Layout","Pipeline Engineering","False","False"
"Plumbing Fundamentals I","Pipeline Engineering","False","False"
"Plumbing Systems","Pipeline Engineering","False","False"
"Politics and Government","Politics","False","True"
"Politics in America","Politics","True","False"
"American Politics","Politics","True","False"
"Government and Politics","Politics","False","True"
"Politics in the United States","Politics","True","False"
"United States Politics","Politics","True","False"
"State Politics","Politics","True","False"
"Politics and Business","Politics","False","True"
"U.S. Politics","Politics","True","False"
"Party Politics","Politics","True","False"
"Politics in Action","Politics","True","False"
"World Politics","Politics","True","False"
"Business and Politics","Politics","False","True"
"People and Politics","Politics","False","True"
"Political Science","Politics","False","True"
"Issues in Politics","Politics","True","False"
"Playing Politics","Politics","True","False"
"Politics and Society","Politics","False","True"
"Politics and Power","Politics","False","True"
"Presidential Politics","Politics","True","False"
"National Politics","Politics","True","False"
"US State Politics","Politics","True","False"
"Political World","Politics","False","True"
"Media Politics","Politics","True","False"
"Understanding Politics","Politics","True","False"
"Resource Allocation and Management","Resource Allocation","True","False"
"Allocation and Use of Resources","Resource Allocation","False","True"
"Resource Acquisition and Allocation","Resource Allocation","True","False"
"Strategic Resource Allocation","Resource Allocation","True","False"
"Markets and Resource Allocation","Resource Allocation","True","False"
"Optimization of Resources","Resource Allocation","True","False"
"Resource Management","Resource Allocation","False","True"
"Resource Management Planning","Resource Allocation","False","True"
"Resource Planning and Scheduling","Resource Allocation","False","True"
"Efficient Resource Use","Resource Allocation","False","True"
"Resource Economics","Resource Allocation","False","True"
"Resource Analysis","Resource Allocation","True","False"
"Resource Management and Budgeting","Resource Allocation","False","True"
"Management of Resources","Resource Allocation","False","True"
"Strategic Resource Allocation and Development","Resource Allocation","True","False"
"Quantitative Methods for Resource Management","Resource Allocation","False","True"
"Resource Use","Resource Allocation","False","True"
"Resource Estimating and Scheduling","Resource Allocation","False","True"
"Operations and Resource Management","Resource Allocation","False","True"
"Resource Management Topics","Resource Allocation","False","True"
"Managing Resources","Resource Allocation","False","True"
"Capacity Planning and Scheduling","Resource Allocation","False","True"
"Competitive Resource Design and Utilization","Resource Allocation","False","True"
"Financial Management and Resource Allocation","Resource Allocation","True","False"
"Readings in Resource Management","Resource Allocation","False","True"
"World Literatures","World Literature","True","True"
"World Literature I","World Literature","True","False"
"Literature of the World","World Literature","True","True"
"World Literature 1","World Literature","True","False"
"World Literature (Literature and Global)","World Literature","True","False"
"Introduction to World Literature","World Literature","True","False"
"World Literatures and Cultures","World Literature","False","True"
"Recent World Literature","World Literature","True","False"
"World Literature Studies","World Literature","True","False"
"World Literature and Culture","World Literature","False","True"
"Introduction to the Study of World Literature","World Literature","True","False"
"World Literature in English","World Literature","True","False"
"Contemporary World Literature","World Literature","True","False"
"World Literatures: Topics","World Literature","True","False"
"World Literature 2","World Literature","True","False"
"Major Works of World Literature","World Literature","True","False"
"Readings in World Literature","World Literature","True","False"
"World Literatures in English","World Literature","True","False"
"Studies in World Literature","World Literature","True","False"
"World Literature in Cultural Context","World Literature","False","True"
"Clinical Methods and Procedures","Clinical Methods","True","False"
"Clinical Methods I","Clinical Methods","True","False"
"Clinical Methods II","Clinical Methods","True","False"
"Special Clinical Methods","Clinical Methods","True","False"
"Introduction to Clinical Methods","Clinical Methods","True","False"
"Clinical Methodologies","Clinical Methods","True","True"
"Advanced Clinical Methods","Clinical Methods","True","False"
"Clinical Methods III","Clinical Methods","True","False"
"Clinical Methods and Procedures: Treatment","Clinical Methods","True","False"
"Clinical Methods and Management","Clinical Methods","True","False"
"Clinical Treatment Methods","Clinical Methods","True","False"
"Introduction to Clinical Methods and Procedures","Clinical Methods","True","False"
"Clinical Research Methods","Clinical Methods","False","False"
"Methods in Clinical Research","Clinical Methods","False","False"
"Clinical Methods and Procedures: Diagnostics","Clinical Methods","True","False"
"Advanced Clinical Techniques","Clinical Methods","True","False"
"Clinical Methods I With Individuals","Clinical Methods","True","False"
"Clinical Methods: Observation","Clinical Methods","True","False"
"Methods of Clinical Management","Clinical Methods","True","False"
"Clinical Methodology","Clinical Methods","True","True"
"Fundamentals in Clinical Techniques","Clinical Methods","True","False"
"African Civilizations","African Civilization","True","True"
"African People and Civilization","African Civilization","True","False"
"Introduction to African Civilization","African Civilization","True","False"
"African World Civilizations","African Civilization","True","False"
"Introduction to African Civilizations","African Civilization","True","False"
"Civilizations of Africa","African Civilization","True","True"
"African Civilization in the New World","African Civilization","True","False"
"African Civilizations: Historical Perspectives","African Civilization","True","False"
"Survey of African Civilization","African Civilization","True","False"
"African Civilizations C","African Civilization","True","False"
"History of African Civilization (3)","African Civilization","True","False"
"African Cultures","African Civilization","False","False"
"African Societies and Cultures","African Civilization","False","False"
"African Peoples and Cultures","African Civilization","False","False"
"Foundations of African Civilizations","African Civilization","True","False"
"Introduction to Civilizations of Africa","African Civilization","True","False"
"Background to African Civilization and Culture: 1875-1994","African Civilization","True","False"
"African Civilization and Society in the New World I","African Civilization","True","False"
"African Civilizations Since 1750","African Civilization","True","False"
"African Civilization Since 1850","African Civilization","True","False"
"African Cultures and Histories","African Civilization","False","False"
"Peoples and Cultures of Africa","African Civilization","False","False"
"The African World","African Civilization","False","False"
"Force, Conflict and Change","Force","False","False"
"Physical Science - Force, Matter and Energy","Force","False","True"
"Motion, Forces, and Energy","Force","False","True"
"Transformative Forces","Force","False","False"
"Physics","Force","False","True"
"Work Force Dynamics","Force","False","False"
"Mechanics","Force","False","True"
"Force and World Politics","Force","False","False"
"Physics: Mechanics","Force","False","True"
"POLICING and USE OF FORCE","Force","False","False"
"Police Use of Force","Force","False","False"
"Ethics, Just War, and Use of Force","Force","False","False"
"Propulsion","Force","False","False"
"Physics I","Force","False","True"
"Newtonian Mechanics","Force","False","True"
"Forces of Leadership","Force","False","False"
"Law Enforcement Use of Force","Force","False","False"
"Power","Force","False","False"
"Industrial Design Fundamentls","Industrial Design","True","False"
"Industrial Design I","Industrial Design","True","False"
"Industrial Engineering Design I","Industrial Design","False","False"
"Industrial Design Fundamentals","Industrial Design","True","False"
"Industrial Design IV","Industrial Design","True","False"
"Industrial Design II","Industrial Design","True","False"
"Industrial Design Process","Industrial Design","True","False"
"Industrial Design III","Industrial Design","True","False"
"Introduction to Industrial Design","Industrial Design","True","False"
"Industrial Design 4: Design for Manufacture","Industrial Design","True","False"
"Industrial Design Thesis","Industrial Design","True","False"
"Industrial Design Methodology","Industrial Design","True","False"
"Principles of Industrial Design","Industrial Design","True","False"
"Industrial Systems Design","Industrial Design","False","False"
"Digital Media and Law","Digital Media Law","True","False"
"Digital Media Law and Policy","Digital Media Law","True","False"
"Digital Media Law and Ethics","Digital Media Law","True","False"
"Digital Media, Law and Policy","Digital Media Law","True","False"
"Electronic Media Law","Digital Media Law","False","True"
"Law and Ethics of Digital Media","Digital Media Law","True","False"
"Digital Media Ethics and Law","Digital Media Law","True","False"
"Media Law","Digital Media Law","False","True"
"Media Law and Digital Ethics","Digital Media Law","False","True"
"Media and Law in the Digital Age","Digital Media Law","False","True"
"Electronic Media Law and Policy","Digital Media Law","False","True"
"Digital Law and Policy","Digital Media Law","False","False"
"Media and Entertainment Law","Digital Media Law","False","False"
"Smooth Geometry","Nonlinear Geometry","False","False"
"Differential Geometry","Nonlinear Geometry","False","False"
"Analytical Geometry","Nonlinear Geometry","False","False"
"Geometry","Nonlinear Geometry","False","False"
"Differential Geometry I","Nonlinear Geometry","False","False"
"Computational Geometry","Nonlinear Geometry","False","False"
"Differential Geometry II","Nonlinear Geometry","False","False"
"Advanced Geometry","Nonlinear Geometry","False","False"
"Modern Geometry","Nonlinear Geometry","False","False"
"Nonlinear Analysis","Nonlinear Geometry","False","False"
"Introduction to Geometry","Nonlinear Geometry","False","False"
"Elementary Differential Geometry","Nonlinear Geometry","False","False"
"Activism","Political Activism","True","False"
"Social Activism","Political Activism","False","True"
"Social Movements and Political Activism","Political Activism","True","False"
"Activism and Social Movements","Political Activism","True","False"
"Community Activism","Political Activism","True","False"
"Politics and Protest","Political Activism","False","True"
"Public Advocacy and Activism","Political Activism","True","False"
"Political Activism and Advocacy Practicum","Political Activism","True","True"
"Activism and Social Change","Political Activism","True","False"
"Political Advocacy","Political Activism","False","True"
"Media and Activism","Political Activism","True","False"
"Feminist Activism","Political Activism","True","False"
"Identity and Activism","Political Activism","True","False"
"Organizing, Advocacy and Activism","Political Activism","True","False"
"Creative Activism","Political Activism","True","False"
"Health Activism","Political Activism","True","False"
"Political Movements","Political Activism","False","True"
"Qigong 1","Qigong","True","False"
"Qigong Way to Health","Qigong","True","False"
"T'ai Chi Qigong","Qigong","True","False"
"Qigong Body-Mind Energetics","Qigong","True","False"
"Tai Chi","Qigong","False","False"
"Advanced Tai Chi","Qigong","False","False"
"Martial Arts Tai Chi","Qigong","False","False"
"Intermediate Tai Chi","Qigong","False","False"
"Tai Chi (1)","Qigong","False","False"
"Basic Tai Chi","Qigong","False","False"
"Tai Chi Chuan: Chinese Classical Exercise","Qigong","False","False"
"Introduction to Tai Chi","Qigong","False","False"
"Taijutsu","Qigong","False","False"
"Tai Chi Chuan","Qigong","False","False"
"Karate","Qigong","False","False"
"Microsoft Office 365","Microsoft 365","True","False"
"Microsoft Office 365TM","Microsoft 365","True","False"
"Microsoft Office","Microsoft 365","True","False"
"Azure","Microsoft 365","False","False"
"Microsoft Office Suite","Microsoft 365","True","False"
"Microsoft Client","Microsoft 365","False","False"
"Microsoft Windows","Microsoft 365","False","False"
"Microsoft Teams","Microsoft 365","True","False"
"Microsoft Essential Solutions","Microsoft 365","False","False"
"Basic Microsoft Office","Microsoft 365","True","False"
"Persuasive Theory and Writing","Persuasive Writing","True","False"
"Persuasive Writing: Various Themes","Persuasive Writing","True","False"
"Advanced Persuasive Writing","Persuasive Writing","True","False"
"The Art of Persuasive Writing","Persuasive Writing","True","True"
"Persuasive Writing/Rhetoric","Persuasive Writing","True","False"
"The Persuasive Writer","Persuasive Writing","True","True"
"Persuasive Writing and Logic","Persuasive Writing","True","False"
"Rhetoric: The Art of Persuasive Writing","Persuasive Writing","True","False"
"Persuasive Media Writing","Persuasive Writing","True","False"
"Persuasion and Persuasive Writing","Persuasive Writing","True","False"
"Persuasive Writing Lab","Persuasive Writing","True","False"
"Persuasive Speaking","Persuasive Writing","False","False"
"Persuasive Speech","Persuasive Writing","False","False"
"Medical Neurophysiology","Neurophysiology","True","False"
"Clinical Neurophysiology","Neurophysiology","True","False"
"Neuropsychophysiology","Neurophysiology","True","False"
"Neurophysiology I","Neurophysiology","True","False"
"Neuroanatomy and Neurophysiology","Neurophysiology","True","False"
"Human Neurophysiology and Anatomy","Neurophysiology","True","False"
"Neurophysiology II","Neurophysiology","True","False"
"Sensory Neurophysiology","Neurophysiology","True","False"
"Psychophysiology","Neurophysiology","False","False"
"Functional Neurophysiology","Neurophysiology","True","False"
"Principles of Neurophysiology","Neurophysiology","True","False"
"Advanced Neurophysiology","Neurophysiology","True","False"
"Visual Neurophysiology","Neurophysiology","True","False"
"Cellular Neurophysiology","Neurophysiology","True","False"
"Applied Human Neurophysiology","Neurophysiology","True","False"
"Mammalian Neurophysiology","Neurophysiology","True","False"
"Neurophysiology Literature","Neurophysiology","True","False"
"Communication in Mathematics","Mathematical Communication","True","True"
"Mathematics Through Communication","Mathematical Communication","True","False"
"Communications in Mathematics","Mathematical Communication","True","True"
"Mathematical Communication and Structures","Mathematical Communication","True","False"
"Mathematical Communication and Technology","Mathematical Communication","True","False"
"Communicating in Mathematics","Mathematical Communication","True","True"
"Communicating Mathematics","Mathematical Communication","True","True"
"Technology and Communication in Mathematics","Mathematical Communication","True","False"
"Mathematics: Composition and Communication","Mathematical Communication","True","False"
"Mathematical Thinking: Communication and Proof","Mathematical Communication","True","False"
"Quantitative Communication","Mathematical Communication","False","False"
"Written and Oral Communication in the Mathematical Sciences","Mathematical Communication","True","False"
"Mathematics,","Mathematical Communication","False","True"
"Digital System","Digital Systems","True","False"
"Digital Systems I","Digital Systems","True","False"
"Digital Electronic Systems","Digital Systems","True","False"
"Basic Digital Systems","Digital Systems","True","False"
"Digital Systems Fundamentals","Digital Systems","True","False"
"Digital Systems II","Digital Systems","True","False"
"Digital Systems Design","Digital Systems","True","False"
"Digital Systems Designs","Digital Systems","True","False"
"Contemporary Digital Systems","Digital Systems","True","False"
"Fundamentals of Digital Systems","Digital Systems","True","False"
"Advanced Digital Systems","Digital Systems","True","False"
"Design of Digital Systems","Digital Systems","True","False"
"Digital System Design","Digital Systems","True","False"
"Digital Systems I Lab","Digital Systems","True","False"
"Intro to Digital Systems","Digital Systems","True","False"
"Digital Communication Systems","Digital Systems","False","False"
"Digital Technologies","Digital Systems","False","True"
"Principles of Digital Systems","Digital Systems","True","False"
"Pain Management I","Pain Management","True","False"
"Comprehensive Pain Management","Pain Management","True","False"
"Advanced Pain Management","Pain Management","True","False"
"The Clinical Management of Pain","Pain Management","True","False"
"Principles of Pain Management","Pain Management","True","False"
"Special Topics in Pain Management","Pain Management","True","False"
"Pain Management II","Pain Management","True","False"
"Foundations of Pain Management","Pain Management","True","False"
"Multidisciplinary Pain Management","Pain Management","True","False"
"Pain Medicine","Pain Management","False","True"
"Pain Assessment and Treatment","Pain Management","True","False"
"Rehabilitation Management of Pain","Pain Management","True","False"
"Complex Pain and Symptom Management","Pain Management","True","False"
"Modal Logic and Metaphysics","Modal Logic","True","False"
"Modal Counterpoint","Modal Logic","False","False"
"Multi-Modal Design","Modal Logic","False","False"
"Logic for Beginners","Modal Logic","False","True"
"Logic","Modal Logic","False","True"
"Discrete Logic","Modal Logic","False","True"
"Logic II","Modal Logic","False","True"
"Formal Logic I","Modal Logic","False","True"
"Formal Logic","Modal Logic","False","True"
"Symbolic Logic I","Modal Logic","False","True"
